,x,y,descrip,grid
2,278377.66699823545,5720153.830219813,TR,32.0
3,278264.07032098057,5718655.862182828,BR,32.0
4,277570.6551290789,5719461.607776485,MID,32.0
0,276877.2399371772,5720267.353370143,BL,33.0
1,276990.8366144321,5721765.32140713,TL,33.0
2,278491.26367549034,5721651.7982568,TR,33.0
3,278377.66699823545,5720153.830219813,BR,33.0
4,277684.2518063338,5720959.575813471,MID,33.0
0,277241.7002256866,5705174.149849953,BL,34.0
1,277355.2969029415,5706672.11788694,TL,34.0
2,278855.7239639997,5706558.59473661,TR,34.0
3,278742.1272867448,5705060.626699623,BR,34.0
4,278048.71209484315,5705866.372293281,MID,34.0
0,277355.2969029415,5706672.11788694,BL,35.0
1,277468.89358019637,5708170.085923925,TL,35.0
2,278969.3206412546,5708056.562773595,TR,35.0
3,278855.7239639997,5706558.59473661,BR,35.0
4,278162.30877209804,5707364.340330267,MID,35.0
0,277468.89358019637,5708170.085923925,BL,36.0
1,277582.49025745125,5709668.053960912,TL,36.0
2,279082.9173185095,5709554.5308105815,TR,36.0
3,278969.3206412546,5708056.562773595,BR,36.0
4,278275.9054493529,5708862.308367253,MID,36.0
0,277582.49025745125,5709668.053960912,BL,37.0
1,277696.08693470614,5711166.021997897,TL,37.0
2,279196.51399576437,5711052.498847567,TR,37.0
3,279082.9173185095,5709554.5308105815,BR,37.0
4,278389.5021266078,5710360.276404239,MID,37.0
0,277696.08693470614,5711166.021997897,BL,38.0
1,277809.683611961,5712663.990034884,TL,38.0
2,279310.11067301926,5712550.466884553,TR,38.0
3,279196.51399576437,5711052.498847567,BR,38.0
4,278503.0988038627,5711858.244441225,MID,38.0
0,277809.683611961,5712663.990034884,BL,39.0
1,277923.2802892159,5714161.958071869,TL,39.0
2,279423.70735027414,5714048.434921538,TR,39.0
3,279310.11067301926,5712550.466884553,BR,39.0
4,278616.6954811176,5713356.212478211,MID,39.0
0,277923.2802892159,5714161.958071869,BL,40.0
1,278036.8769664708,5715659.926108856,TL,40.0
2,279537.304027529,5715546.402958525,TR,40.0
3,279423.70735027414,5714048.434921538,BR,40.0
4,278730.29215837247,5714854.180515197,MID,40.0
0,278036.8769664708,5715659.926108856,BL,41.0
1,278150.4736437257,5717157.894145841,TL,41.0
2,279650.9007047839,5717044.37099551,TR,41.0
3,279537.304027529,5715546.402958525,BR,41.0
4,278843.88883562735,5716352.148552183,MID,41.0
0,278150.4736437257,5717157.894145841,BL,42.0
